# SimpleSim Simulation Results - 20250624_225042
# Generated: 2025-06-24 22:50:42
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office;Year;Total FTE;Consultants;Total Hours;Avg Price;Revenue (SEK);Salary Cost (SEK);Employment Cost (SEK);EBITDA (SEK);Margin (%)
Oslo;2025;Sales;AM;1;70030;1385
Oslo;2025;Sales;M;4;74916;1439
Oslo;2025;Recruitment;AM;1;70030;1385
Oslo;2025;Recruitment;C;4;61072;1234
Oslo;2025;Recruitment;M;1;74916;1439
Oslo;2025;Recruitment;SrC;4;65144;1319
Oslo;2025;Operations;N/A;6;40000;N/A
Berlin;2025;Consultant;A;6;58710;1421
Berlin;2025;Consultant;AC;20;58710;1421
Berlin;2025;Consultant;C;21;60968;1519
Berlin;2025;Consultant;SrC;48;69467;1600
Berlin;2025;Consultant;AM;25;79823;1757
Berlin;2025;Consultant;M;5;92817;1669
Berlin;2025;Sales;AC;2;58710;1421
Berlin;2025;Sales;C;2;60968;1519
Berlin;2025;Sales;SrC;6;69467;1600
Berlin;2025;Sales;AM;1;79823;1757
Berlin;2025;Sales;M;5;92817;1669
Berlin;2025;Sales;SrM;1;112555;1645
Berlin;2025;Recruitment;AM;2;79823;1757
Berlin;2025;Recruitment;C;2;60968;1519
Berlin;2025;Recruitment;SrC;2;69467;1600
Berlin;2025;Operations;N/A;4;40000;N/A
Copenhagen;2025;Consultant;A;7;65960;1378
Copenhagen;2025;Consultant;AC;21;66710;1474
Copenhagen;2025;Consultant;C;31;71207;1490
Copenhagen;2025;Consultant;SrC;20;77953;1675
Copenhagen;2025;Consultant;AM;19;85823;1745
Copenhagen;2025;Consultant;M;9;101189;1807
Copenhagen;2025;Consultant;SrM;2;110183;2191
Copenhagen;2025;Consultant;PiP;0;128922;2099
Copenhagen;2025;Sales;AC;2;66710;1474
Copenhagen;2025;Sales;C;0;71207;1490
Copenhagen;2025;Sales;SrC;4;77953;1675
Copenhagen;2025;Sales;AM;2;85823;1745
Copenhagen;2025;Sales;M;1;101189;1807
Copenhagen;2025;Sales;SrM;1;110183;2191
Copenhagen;2025;Sales;PiP;1;128922;2099
Copenhagen;2025;Recruitment;AC;1;66710;1474
Copenhagen;2025;Recruitment;C;1;71207;1490
Copenhagen;2025;Recruitment;SrC;2;77953;1675
Copenhagen;2025;Recruitment;M;2;101189;1807
Copenhagen;2025;Operations;N/A;4;40000;N/A
Zurich;2025;Consultant;A;3;101574;1608
Zurich;2025;Consultant;AC;7;106952;1337
Zurich;2025;Consultant;C;2;112329;1943
Zurich;2025;Consultant;SrC;14;125474;2057
Zurich;2025;Consultant;AM;14;145191;2193
Zurich;2025;Consultant;M;6;158336;2204
Zurich;2025;Sales;AC;1;106952;1337
Zurich;2025;Sales;C;2;112329;1943
Zurich;2025;Sales;AM;2;145191;2193
Zurich;2025;Sales;M;1;158336;2204
Zurich;2025;Recruitment;A;0;101574;1608
Zurich;2025;Recruitment;AC;2;106952;1337
Zurich;2025;Operations;N/A;1;40000;N/A
Frankfurt;2025;Consultant;A;0;58710;1370
Frankfurt;2025;Consultant;AC;7;58710;1595
Frankfurt;2025;Consultant;C;6;60968;1537
Frankfurt;2025;Consultant;SrC;4;69467;1561
Frankfurt;2025;Consultant;AM;7;79823;1760
Frankfurt;2025;Consultant;M;1;92817;1862
Frankfurt;2025;Consultant;SrM;1;112555;1862
Frankfurt;2025;Sales;A;1;58710;1370
Frankfurt;2025;Sales;AC;4;58710;1595
Frankfurt;2025;Sales;SrC;1;69467;1561
Frankfurt;2025;Recruitment;A;1;58710;1370
Frankfurt;2025;Recruitment;C;1;60968;1537
Frankfurt;2025;Recruitment;SrC;0;69467;1561
Amsterdam;2025;Consultant;A;1;44731;1174
Amsterdam;2025;Consultant;AC;7;46968;1137
Amsterdam;2025;Consultant;C;3;49204;1322
Amsterdam;2025;Consultant;SrC;4;56473;1268
Amsterdam;2025;Consultant;AM;1;64189;1351
Amsterdam;2025;Consultant;SrM;1;93768;1510
Amsterdam;2025;Sales;A;1;44731;1174
Amsterdam;2025;Sales;AC;2;46968;1137
Amsterdam;2025;Sales;C;1;49204;1322
Amsterdam;2025;Sales;AM;1;64189;1351
Amsterdam;2025;Sales;PiP;1;144761;2012
Amsterdam;2025;Recruitment;A;1;44731;1174
Amsterdam;2025;Recruitment;AC;1;46968;1137
Amsterdam;2025;Recruitment;SrC;1;56473;1268
Cologne;2025;Consultant;A;6;42840;1367
Cologne;2025;Consultant;AC;4;44880;1468
Cologne;2025;Consultant;C;4;48960;1473
Cologne;2025;Consultant;SrC;2;54060;1594
Cologne;2025;Consultant;AM;1;59160;1798
Cologne;2025;Consultant;M;4;71400;1913
Cologne;2025;Sales;AC;1;44880;1468
Cologne;2025;Sales;C;4;48960;1473
Cologne;2025;Recruitment;C;1;48960;1473
Cologne;2025;Recruitment;M;1;71400;1913
Toronto;2025;Consultant;A;1;35642;1497
Toronto;2025;Consultant;AC;0;39207;1497
Toronto;2025;Consultant;C;1;42771;1497
Toronto;2025;Consultant;SrC;1;49899;1497
Toronto;2025;Consultant;AM;2;57028;1497
NonExistent;2025;Office;Role;0;0;0

=== FINANCIAL METRICS ===
Year;Total System FTE;Total Revenue (SEK);Total Salary Cost (SEK);Total Employment Cost (SEK);Other Expenses (SEK);Total Costs (SEK);EBITDA (SEK);EBITDA Margin (%)
2025;3286;4798030420;2245542817;3143759944;228000000;3371759944;1426270476;29.7

=== MONTHLY PROGRESSION ===
Office;Year-Month;Total FTE;Consultants;Operations;Sales;Recruitment
Stockholm;2025-1;853;712;0;49;58
Stockholm;2025-2;889;747;0;50;61
Stockholm;2025-3;926;784;0;50;62
Stockholm;2025-4;974;825;0;56;74
Stockholm;2025-5;1019;867;0;58;72
Stockholm;2025-6;1062;909;0;59;70
Stockholm;2025-7;1117;954;0;65;86
Stockholm;2025-8;1168;1003;0;66;83
Stockholm;2025-9;1226;1053;0;72;92
Stockholm;2025-10;1280;1105;0;74;88
Stockholm;2025-11;1339;1161;0;75;95
Stockholm;2025-12;1404;1216;0;82;104
Munich;2025-1;422;344;0;25;30
Munich;2025-2;439;361;0;25;35
Munich;2025-3;458;380;0;25;37
Munich;2025-4;479;398;0;27;40
Munich;2025-5;501;418;0;29;41
Munich;2025-6;524;441;0;29;42
Munich;2025-7;547;463;0;29;43
Munich;2025-8;574;486;0;32;48
Munich;2025-9;599;509;0;34;46
Munich;2025-10;625;534;0;35;47
Munich;2025-11;659;561;0;37;60
Munich;2025-12;692;590;0;40;60
Hamburg;2025-1;169;133;0;18;14
Hamburg;2025-2;174;138;0;18;15
Hamburg;2025-3;181;145;0;18;17
Hamburg;2025-4;189;153;0;18;18
Hamburg;2025-5;198;159;0;19;21
Hamburg;2025-6;206;167;0;19;20
Hamburg;2025-7;218;178;0;20;24
Hamburg;2025-8;226;185;0;21;20
Hamburg;2025-9;238;194;0;22;26
Hamburg;2025-10;248;204;0;22;24
Hamburg;2025-11;264;215;0;26;31
Hamburg;2025-12;274;225;0;26;25
Helsinki;2025-1;132;108;0;12;10
