# SimpleSim Simulation Results - 20250624_224358
# Generated: 2025-06-24 22:43:58
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office,Year,Total FTE,Consultants,Total Hours,Avg Price,Revenue (SEK),Salary Cost (SEK),Employment Cost (SEK),EBITDA (SEK),Margin (%)
Oslo,2025,Sales,AM,1,70030,1385
Oslo,2025,Sales,M,3,74916,1439
Oslo,2025,Recruitment,AM,1,70030,1385
Oslo,2025,Recruitment,C,6,61072,1234
Oslo,2025,Recruitment,M,1,74916,1439
Oslo,2025,Recruitment,SrC,2,65144,1319
Oslo,2025,Operations,N/A,6,40000,N/A
Berlin,2025,Consultant,A,6,58710,1421
Berlin,2025,Consultant,AC,21,58710,1421
Berlin,2025,Consultant,C,22,60968,1519
Berlin,2025,Consultant,SrC,43,69467,1600
Berlin,2025,Consultant,AM,25,79823,1757
Berlin,2025,Consultant,M,11,92817,1669
Berlin,2025,Sales,AC,1,58710,1421
Berlin,2025,Sales,C,5,60968,1519
Berlin,2025,Sales,SrC,4,69467,1600
Berlin,2025,Sales,AM,2,79823,1757
Berlin,2025,Sales,M,4,92817,1669
Berlin,2025,Sales,SrM,1,112555,1645
Berlin,2025,Recruitment,AM,2,79823,1757
Berlin,2025,Recruitment,C,4,60968,1519
Berlin,2025,Recruitment,SrC,1,69467,1600
Berlin,2025,Operations,N/A,4,40000,N/A
Copenhagen,2025,Consultant,A,6,65960,1378
Copenhagen,2025,Consultant,AC,18,66710,1474
Copenhagen,2025,Consultant,C,34,71207,1490
Copenhagen,2025,Consultant,SrC,20,77953,1675
Copenhagen,2025,Consultant,AM,19,85823,1745
Copenhagen,2025,Consultant,M,7,101189,1807
Copenhagen,2025,Consultant,SrM,4,110183,2191
Copenhagen,2025,Consultant,PiP,0,128922,2099
Copenhagen,2025,Sales,AC,2,66710,1474
Copenhagen,2025,Sales,C,0,71207,1490
Copenhagen,2025,Sales,SrC,4,77953,1675
Copenhagen,2025,Sales,AM,1,85823,1745
Copenhagen,2025,Sales,M,2,101189,1807
Copenhagen,2025,Sales,SrM,1,110183,2191
Copenhagen,2025,Sales,PiP,1,128922,2099
Copenhagen,2025,Recruitment,AC,1,66710,1474
Copenhagen,2025,Recruitment,C,1,71207,1490
Copenhagen,2025,Recruitment,SrC,4,77953,1675
Copenhagen,2025,Recruitment,M,1,101189,1807
Copenhagen,2025,Operations,N/A,4,40000,N/A
Zurich,2025,Consultant,A,4,101574,1608
Zurich,2025,Consultant,AC,4,106952,1337
Zurich,2025,Consultant,C,5,112329,1943
Zurich,2025,Consultant,SrC,15,125474,2057
Zurich,2025,Consultant,AM,9,145191,2193
Zurich,2025,Consultant,M,10,158336,2204
Zurich,2025,Sales,AC,2,106952,1337
Zurich,2025,Sales,C,1,112329,1943
Zurich,2025,Sales,AM,2,145191,2193
Zurich,2025,Sales,M,1,158336,2204
Zurich,2025,Recruitment,A,1,101574,1608
Zurich,2025,Recruitment,AC,0,106952,1337
Zurich,2025,Operations,N/A,1,40000,N/A
Frankfurt,2025,Consultant,A,0,58710,1370
Frankfurt,2025,Consultant,AC,9,58710,1595
Frankfurt,2025,Consultant,C,4,60968,1537
Frankfurt,2025,Consultant,SrC,5,69467,1561
Frankfurt,2025,Consultant,AM,6,79823,1760
Frankfurt,2025,Consultant,M,1,92817,1862
Frankfurt,2025,Consultant,SrM,1,112555,1862
Frankfurt,2025,Sales,A,1,58710,1370
Frankfurt,2025,Sales,AC,4,58710,1595
Frankfurt,2025,Sales,SrC,1,69467,1561
Frankfurt,2025,Recruitment,A,0,58710,1370
Frankfurt,2025,Recruitment,C,1,60968,1537
Frankfurt,2025,Recruitment,SrC,2,69467,1561
Amsterdam,2025,Consultant,A,2,44731,1174
Amsterdam,2025,Consultant,AC,6,46968,1137
Amsterdam,2025,Consultant,C,3,49204,1322
Amsterdam,2025,Consultant,SrC,2,56473,1268
Amsterdam,2025,Consultant,AM,2,64189,1351
Amsterdam,2025,Consultant,SrM,2,93768,1510
Amsterdam,2025,Sales,A,2,44731,1174
Amsterdam,2025,Sales,AC,1,46968,1137
Amsterdam,2025,Sales,C,1,49204,1322
Amsterdam,2025,Sales,AM,1,64189,1351
Amsterdam,2025,Sales,PiP,1,144761,2012
Amsterdam,2025,Recruitment,A,1,44731,1174
Amsterdam,2025,Recruitment,AC,0,46968,1137
Amsterdam,2025,Recruitment,SrC,1,56473,1268
Cologne,2025,Consultant,A,4,42840,1367
Cologne,2025,Consultant,AC,4,44880,1468
Cologne,2025,Consultant,C,6,48960,1473
Cologne,2025,Consultant,SrC,1,54060,1594
Cologne,2025,Consultant,AM,2,59160,1798
Cologne,2025,Consultant,M,4,71400,1913
Cologne,2025,Sales,AC,2,44880,1468
Cologne,2025,Sales,C,1,48960,1473
Cologne,2025,Recruitment,C,1,48960,1473
Cologne,2025,Recruitment,M,1,71400,1913
Toronto,2025,Consultant,A,1,35642,1497
Toronto,2025,Consultant,AC,0,39207,1497
Toronto,2025,Consultant,C,2,42771,1497
Toronto,2025,Consultant,SrC,1,49899,1497
Toronto,2025,Consultant,AM,1,57028,1497
NonExistent,2025,Office,Role,0,0,0

=== FINANCIAL METRICS ===
Year,Total System FTE,Total Revenue (SEK),Total Salary Cost (SEK),Total Employment Cost (SEK),Other Expenses (SEK),Total Costs (SEK),EBITDA (SEK),EBITDA Margin (%)
2025,3284,4794128309,2242203204,3139084485,228000000,3367084485,1427043824,29.8

=== MONTHLY PROGRESSION ===
Office,Year-Month,Total FTE,Consultants,Operations,Sales,Recruitment
Stockholm,2025-1,853,0,0,0,0
Stockholm,2025-2,890,0,0,0,0
Stockholm,2025-3,929,0,0,0,0
Stockholm,2025-4,974,0,0,0,0
Stockholm,2025-5,1019,0,0,0,0
Stockholm,2025-6,1064,0,0,0,0
Stockholm,2025-7,1115,0,0,0,0
Stockholm,2025-8,1169,0,0,0,0
Stockholm,2025-9,1224,0,0,0,0
Stockholm,2025-10,1279,0,0,0,0
Stockholm,2025-11,1340,0,0,0,0
Stockholm,2025-12,1407,0,0,0,0
Munich,2025-1,421,0,0,0,0
Munich,2025-2,438,0,0,0,0
Munich,2025-3,458,0,0,0,0
Munich,2025-4,479,0,0,0,0
Munich,2025-5,501,0,0,0,0
Munich,2025-6,520,0,0,0,0
Munich,2025-7,546,0,0,0,0
Munich,2025-8,570,0,0,0,0
Munich,2025-9,596,0,0,0,0
Munich,2025-10,625,0,0,0,0
Munich,2025-11,654,0,0,0,0
Munich,2025-12,686,0,0,0,0
Hamburg,2025-1,169,0,0,0,0
Hamburg,2025-2,173,0,0,0,0
Hamburg,2025-3,183,0,0,0,0
Hamburg,2025-4,189,0,0,0,0
Hamburg,2025-5,198,0,0,0,0
Hamburg,2025-6,205,0,0,0,0
Hamburg,2025-7,219,0,0,0,0
Hamburg,2025-8,227,0,0,0,0
Hamburg,2025-9,238,0,0,0,0
